experiment,model,val_rmse,train_rmse,gap_ratio,median_r,deviation,outlier,otype,val_rmse_zscore,gap_zscore,test_mae,mono_violations,mono_rate,max_jump,mean_abs_diff,mean_rolling_var,mean_ma_dev,slope,slope_dev,slope_consistency,final_pred,mean_err_early,mean_err_late,err_growth_ratio,corr_err_cycle,corr_err_mahal
Exp_001,RF,33.835834034636505,23.17496060727179,1.4600168953046493,25.975251634049187,7.860582400587319,False,Inlier,-1.3619011125918978,-1.20753151693613,3.774045872422968,34.0,0.2236842105263158,7.635780757699145,1.0980317667235766,8.149908895820758,3.8681686045117405,-0.9161278880388312,0.08387211196116884,0.33647705571094927,2.4301716923964993,10.906464043817584,0.7424761830636306,0.06807670937901356,-0.8024778804996746,-0.16491382056437218
Exp_001,XGB,35.9179617404153,20.71832726048742,1.7336323192903504,25.975251634049187,9.942710106366114,False,Inlier,-0.359671094359774,0.9514516406003408,7.540670351265303,34.0,0.2236842105263158,7.879447937011719,1.2415514619726884,7.345690993521229,3.5708950783679785,-0.818341026537755,0.18165897346224502,0.34454967922517427,12.919015884399414,12.572779591878255,9.68964179356893,0.7706841373269782,-0.19027480156171378,0.3527603490336597
Exp_001,SVR,32.680525017784284,25.726022562382607,1.2703294859723386,25.975251634049187,6.705273383735097,False,Inlier,-0.2672238345111211,0.10838841666314102,5.164058546551022,55.0,0.3618421052631579,8.85154896038675,2.6944758079905973,12.858458243470666,4.213548277432876,-0.907553586333026,0.09244641366697404,0.42907780732384254,3.3878779096559413,12.326963498219504,2.298150191145268,0.18643278950872297,-0.648146806590773,-0.10992566556018159
Exp_001,LSTM,19.26997825031409,12.369839912186617,1.5578195342147914,25.975251634049187,-6.705273383735097,False,Inlier,-0.3461887406960661,0.28341923598892105,5.262345722298217,58.0,0.3815789473684211,12.522686004638672,2.4228313847592005,19.690039655688754,4.821544258766915,-1.0449081947398544,0.04490819473985441,0.9053589544068577,6.090789794921875,5.446040344238281,5.475445318222046,1.00539933091294,0.16189417458887134,-0.02171503701656552
Exp_001,CNN,19.195279113218827,11.461374182205695,1.6747799005655335,25.975251634049187,-6.779972520830359,False,Inlier,-0.43716441226608055,-0.454338718853225,10.217847830329845,57.0,0.375,11.705970764160156,2.981362305189434,19.84743089557733,5.0620874963121825,-1.1023344577246315,0.10233445772463146,0.8461878993241837,6.4258012771606445,16.672090657552083,4.7887644131978355,0.28723238804058643,-0.4195515290950329,-0.2654023915763797
Exp_001,Transformer,8.18403983345667,4.431639118623036,1.8467297571828343,25.975251634049187,-17.791211800592517,False,Inlier,-0.4677857259030726,-0.2616361825966474,3.555520090402341,10.0,0.06578947368421052,3.434783935546875,1.1409556144162227,11.32841641962173,4.725495908594018,-1.022681211739179,0.02268121173917903,0.4392917346615562,2.267503261566162,4.6528770446777346,2.4625425418217977,0.5292515830906418,-0.25976486466284937,-0.3533284525447452
Exp_002,RF,35.536945866567805,9.459894476742388,3.7565900924092883,26.765010575946707,8.771935290621098,False,Inlier,0.8041935428179291,1.5743928700618737,7.557567053661458,46.0,0.3026315789473684,7.888155847838682,1.7342741462134075,10.527485099242165,4.053154486882569,-0.8447937996809644,0.15520620031903565,0.4720090355139389,0.15638894239220094,18.621748643878338,1.3303014974777676,0.07143805465954924,-0.8894776275558924,-0.2162897624534511
Exp_002,XGB,35.71700188471609,31.333870849327628,1.1398847610135763,26.765010575946707,8.951991308769383,False,Inlier,-0.4040006548440661,-0.9052492261639022,10.495310602624432,0.0,0.0,3.088287353515625,0.699193515275654,4.6038129334025575,3.106345683463024,-0.7543795078982061,0.24562049210179393,0.19492237644319305,31.11664390563965,9.027291361490885,21.78680642445882,2.413437824483895,0.7347727219695874,0.6230468084471227
Exp_002,SVR,32.45409479904099,24.825474053205102,1.3072900331927797,26.765010575946707,5.68908422309428,False,Inlier,-0.9208334845726209,1.0294325570705702,5.595758459339268,55.0,0.3618421052631579,9.273721987132049,2.724862964602916,13.330734861699524,4.204414772092266,-0.8946034656714694,0.10539653432853058,0.44276609172601517,1.872720757723613,13.829299691959106,2.172497966546255,0.1570938525404457,-0.6822826842573151,-0.1300991091160206
Exp_002,LSTM,18.162131113715617,8.011482105080153,2.2670126295606208,26.765010575946707,-8.60287946223109,False,Inlier,-0.7480889561892309,2.339252952755145,5.068778759513805,52.0,0.34210526315789475,13.184551239013672,2.291803330183029,17.863275089180444,4.629534831981044,-0.9963538151682193,0.0036461848317806966,0.729188439299675,3.8978641033172607,4.219658660888672,3.5262509266535442,0.8356720791986777,0.06680835764353932,-0.12033787872045099
